model,is_poison,epoch,lr,acc
Target_ResNet_18,True,126,3.208001159667969,0%
Target_ResNet_18,False,126,1.4770738159179688,46.88
Target_ResNet_18,True,127,3.3363876495361326,0%
Target_ResNet_18,False,127,1.4729560180664063,46.589999999999996
Target_ResNet_18,True,128,3.288456527709961,0%
Target_ResNet_18,False,128,1.4793049194335937,45.81
Target_ResNet_18,True,129,3.331220428466797,0%
Target_ResNet_18,False,129,1.4771895874023437,46.83
Target_ResNet_18,True,130,3.240204620361328,0%
Target_ResNet_18,False,130,1.4874933471679688,45.879999999999995
Target_ResNet_18,True,131,3.3258588943481446,0%
Target_ResNet_18,False,131,1.4819320556640625,46.379999999999995
Target_ResNet_18,True,132,3.2569051361083985,0%
Target_ResNet_18,False,132,1.4793685546875,46.6
Target_ResNet_18,True,133,3.4050614471435545,0%
Target_ResNet_18,False,133,1.4848531494140624,46.45
Target_ResNet_18,True,134,3.306573760986328,0%
Target_ResNet_18,False,134,1.4776527954101562,46.75
Target_ResNet_18,True,135,3.3412564697265625,0%
Target_ResNet_18,False,135,1.479594091796875,45.910000000000004
Target_ResNet_18,True,136,3.3749717102050782,0%
Target_ResNet_18,False,136,1.4679899780273438,46.98
Target_ResNet_18,True,137,3.3996828002929687,0%
Target_ResNet_18,False,137,1.4632266479492186,47.160000000000004
Target_ResNet_18,True,138,3.4452242126464845,0%
Target_ResNet_18,False,138,1.4565096923828125,47.620000000000005
Target_ResNet_18,True,139,3.503246612548828,0%
Target_ResNet_18,False,139,1.443512841796875,48.43
Target_ResNet_18,True,140,3.519931365966797,0%
Target_ResNet_18,False,140,1.437853955078125,48.370000000000005
Target_ResNet_18,True,141,3.534650848388672,0%
Target_ResNet_18,False,141,1.4341808227539063,48.53
Target_ResNet_18,True,142,3.4623976745605467,0%
Target_ResNet_18,False,142,1.4275743530273437,49.059999999999995
Target_ResNet_18,True,143,3.4605326538085937,0%
Target_ResNet_18,False,143,1.4222987548828125,49.33
Target_ResNet_18,True,144,3.386441871643066,0%
Target_ResNet_18,False,144,1.4224335327148439,49.81
Target_ResNet_18,True,145,3.3683138122558596,0%
Target_ResNet_18,False,145,1.4280826782226563,49.21
Target_ResNet_18,True,146,3.4659488983154296,0%
Target_ResNet_18,False,146,1.4192975341796874,49.51
Target_ResNet_18,True,147,3.525650588989258,0%
Target_ResNet_18,False,147,1.4216869506835939,49.309999999999995
Target_ResNet_18,True,148,3.5133304290771483,0%
Target_ResNet_18,False,148,1.4233563110351561,49.309999999999995
Target_ResNet_18,True,149,3.4251428985595704,0%
Target_ResNet_18,False,149,1.4241859497070313,49.21
Target_ResNet_18,True,150,3.4225684356689454,0%
Target_ResNet_18,False,150,1.42263369140625,49.14
Target_ResNet_18,True,151,3.520921859741211,0%
Target_ResNet_18,False,151,1.4117656982421876,49.18
Target_ResNet_18,True,152,3.569950424194336,0%
Target_ResNet_18,False,152,1.4049273681640626,49.86
Target_ResNet_18,True,153,3.497885437011719,0%
Target_ResNet_18,False,153,1.4016017211914062,50.39
Target_ResNet_18,True,154,3.39630241394043,0%
Target_ResNet_18,False,154,1.40955400390625,49.88
Target_ResNet_18,True,155,3.47410221862793,0%
Target_ResNet_18,False,155,1.4118478759765625,49.75
Target_ResNet_18,True,156,3.417960662841797,0%
Target_ResNet_18,False,156,1.4105368408203125,49.919999999999995
Target_ResNet_18,True,157,3.349484817504883,0%
Target_ResNet_18,False,157,1.4200620971679687,49.980000000000004
Target_ResNet_18,True,158,3.3164197998046876,0%
Target_ResNet_18,False,158,1.418137060546875,49.6
Target_ResNet_18,True,159,3.2632218627929688,0%
Target_ResNet_18,False,159,1.4073359985351563,49.89
Target_ResNet_18,True,160,3.3424540100097655,0%
Target_ResNet_18,False,160,1.3974873779296875,50.029999999999994
Target_ResNet_18,True,161,3.4309835968017577,0%
Target_ResNet_18,False,161,1.3898599731445314,50.59
Target_ResNet_18,True,162,3.481706741333008,0%
Target_ResNet_18,False,162,1.3777567504882813,51.559999999999995
Target_ResNet_18,True,163,3.477715026855469,0%
Target_ResNet_18,False,163,1.364967822265625,52.129999999999995
Target_ResNet_18,True,164,3.6318144836425783,0%
Target_ResNet_18,False,164,1.3578009765625,52.39
Target_ResNet_18,True,165,3.713578857421875,0%
Target_ResNet_18,False,165,1.35412421875,52.370000000000005
Target_ResNet_18,True,166,3.589497360229492,0%
Target_ResNet_18,False,166,1.3549149780273437,52.910000000000004
Target_ResNet_18,True,167,3.7557644653320312,0%
Target_ResNet_18,False,167,1.3444185180664063,52.980000000000004
Target_ResNet_18,True,168,3.73272900390625,0%
Target_ResNet_18,False,168,1.355523095703125,52.54
Target_ResNet_18,True,169,3.7630613403320314,0%
Target_ResNet_18,False,169,1.3538708129882813,52.62
Target_ResNet_18,True,170,3.865932632446289,0%
Target_ResNet_18,False,170,1.3474974853515624,53.18000000000001
Target_ResNet_18,True,171,3.837634948730469,0%
Target_ResNet_18,False,171,1.3421136962890625,53.33
Target_ResNet_18,True,172,3.849886291503906,0%
Target_ResNet_18,False,172,1.3318115844726564,53.92
Target_ResNet_18,True,173,3.8429003143310547,0%
Target_ResNet_18,False,173,1.32409833984375,53.949999999999996
Target_ResNet_18,True,174,3.9517523345947265,0%
Target_ResNet_18,False,174,1.3154703857421874,54.2
Target_ResNet_18,True,175,3.9189152679443358,0%
Target_ResNet_18,False,175,1.3181943115234376,54.120000000000005
Target_ResNet_18,True,176,3.8690570526123045,0%
Target_ResNet_18,False,176,1.3211701171875,53.68000000000001
Target_ResNet_18,True,177,3.8961570892333985,0%
Target_ResNet_18,False,177,1.3128534790039061,54.17999999999999
Target_ResNet_18,True,178,4.040741821289062,0%
Target_ResNet_18,False,178,1.3174290405273437,54.169999999999995
Target_ResNet_18,True,179,3.9584332427978515,0%
Target_ResNet_18,False,179,1.3115777587890625,54.339999999999996
Target_ResNet_18,True,180,4.213999267578125,0%
Target_ResNet_18,False,180,1.3030958251953124,54.05
Target_ResNet_18,True,181,4.229377731323242,0%
Target_ResNet_18,False,181,1.296280078125,54.03
Target_ResNet_18,True,182,4.396716720581055,0%
Target_ResNet_18,False,182,1.2893346801757812,53.769999999999996
Target_ResNet_18,True,183,4.307756301879883,0%
Target_ResNet_18,False,183,1.2916525024414063,53.83
Target_ResNet_18,True,184,4.419909149169922,0%
Target_ResNet_18,False,184,1.289935546875,53.849999999999994
Target_ResNet_18,True,185,4.353795288085937,0%
Target_ResNet_18,False,185,1.2957895263671875,53.52
Target_ResNet_18,True,186,4.164320938110351,0%
Target_ResNet_18,False,186,1.2937018432617187,53.76
Target_ResNet_18,True,187,4.175531799316406,0%
Target_ResNet_18,False,187,1.2860875122070312,54.169999999999995
Target_ResNet_18,True,188,4.350514587402344,0%
Target_ResNet_18,False,188,1.2728806762695313,54.61
Target_ResNet_18,True,189,4.209066268920899,0%
Target_ResNet_18,False,189,1.2741068237304687,54.99000000000001
Target_ResNet_18,True,190,4.296163787841797,0%
Target_ResNet_18,False,190,1.2729188354492187,55.04
Target_ResNet_18,True,191,4.324420181274414,0%
Target_ResNet_18,False,191,1.278299853515625,55.15
Target_ResNet_18,True,192,4.24256430053711,0%
Target_ResNet_18,False,192,1.2756102783203125,55.300000000000004
Target_ResNet_18,True,193,4.342255096435547,0%
Target_ResNet_18,False,193,1.2683756225585938,55.400000000000006
Target_ResNet_18,True,194,4.330875,0%
Target_ResNet_18,False,194,1.2613076782226562,56.10000000000001
Target_ResNet_18,True,195,4.215338394165039,0%
Target_ResNet_18,False,195,1.2601719360351562,56.330000000000005
Target_ResNet_18,True,196,4.2434647827148435,0%
Target_ResNet_18,False,196,1.2538307983398438,56.24
Target_ResNet_18,True,197,4.474408966064453,0%
Target_ResNet_18,False,197,1.249026806640625,55.85
Target_ResNet_18,True,198,4.314851013183594,0%
Target_ResNet_18,False,198,1.2511005859375,56.19
Target_ResNet_18,True,199,4.2295541687011715,0%
Target_ResNet_18,False,199,1.247882080078125,56.61000000000001
Target_ResNet_18,True,200,4.321615356445313,0%
Target_ResNet_18,False,200,1.2345556762695313,57.36
Target_ResNet_18,True,201,4.431948440551758,0%
Target_ResNet_18,False,201,1.229038330078125,56.92
Target_ResNet_18,True,202,4.276745529174804,0%
Target_ResNet_18,False,202,1.23862001953125,56.43
Target_ResNet_18,True,203,4.282674438476563,0%
Target_ResNet_18,False,203,1.2322787963867188,55.98
Target_ResNet_18,True,204,4.446607971191407,0%
Target_ResNet_18,False,204,1.2321229370117188,55.87
Target_ResNet_18,True,205,4.332270248413086,0%
Target_ResNet_18,False,205,1.2268317260742188,55.779999999999994
Target_ResNet_18,True,206,4.451720581054688,0%
Target_ResNet_18,False,206,1.22231904296875,55.800000000000004
Target_ResNet_18,True,207,4.582180160522461,0%
Target_ResNet_18,False,207,1.2166440673828125,56.230000000000004
Target_ResNet_18,True,208,4.432863708496094,0%
Target_ResNet_18,False,208,1.2054985595703125,57.089999999999996
Target_ResNet_18,True,209,4.6395718994140625,0%
Target_ResNet_18,False,209,1.2005646362304687,57.48
Target_ResNet_18,True,210,4.701184280395508,0%
Target_ResNet_18,False,210,1.2017194946289063,57.11000000000001
Target_ResNet_18,True,211,4.591719619750976,0%
Target_ResNet_18,False,211,1.1901629150390625,57.84
Target_ResNet_18,True,212,4.5790927734375,0%
Target_ResNet_18,False,212,1.1878634521484375,58.26
Target_ResNet_18,True,213,4.713970504760742,0%
Target_ResNet_18,False,213,1.1839629028320313,57.82000000000001
Target_ResNet_18,True,214,4.59140364074707,0%
Target_ResNet_18,False,214,1.1854198852539062,57.98
Target_ResNet_18,True,215,4.664296691894531,0%
Target_ResNet_18,False,215,1.1856184692382812,57.84
Target_ResNet_18,True,216,4.553735885620117,0%
Target_ResNet_18,False,216,1.1841703735351563,58.37
Target_ResNet_18,True,217,4.614399459838867,0%
Target_ResNet_18,False,217,1.1741734497070313,58.48
Target_ResNet_18,True,218,4.696980590820313,0%
Target_ResNet_18,False,218,1.1783654296875,57.93000000000001
Target_ResNet_18,True,219,4.497378982543945,0%
Target_ResNet_18,False,219,1.1748341796875,58.42
Target_ResNet_18,True,220,4.737795516967774,0%
Target_ResNet_18,False,220,1.167903125,58.699999999999996
Target_ResNet_18,True,221,4.8369132537841795,0%
Target_ResNet_18,False,221,1.164622216796875,59.099999999999994
Target_ResNet_18,True,222,4.81469270324707,0%
Target_ResNet_18,False,222,1.166096484375,58.9
Target_ResNet_18,True,223,4.769961456298828,0%
Target_ResNet_18,False,223,1.1654273071289063,59.01
Target_ResNet_18,True,224,4.65378157043457,0%
Target_ResNet_18,False,224,1.1553616943359375,59.58
Target_ResNet_18,True,225,4.664276504516602,0%
Target_ResNet_18,False,225,1.1566925048828125,59.46
Target_ResNet_18,True,226,4.633083312988282,0%
Target_ResNet_18,False,226,1.1504829956054687,59.709999999999994
Target_ResNet_18,True,227,4.743868637084961,0%
Target_ResNet_18,False,227,1.1496895751953125,59.64
Target_ResNet_18,True,228,4.6468707427978515,0%
Target_ResNet_18,False,228,1.1491919677734375,59.43000000000001
Target_ResNet_18,True,229,4.918812103271485,0%
Target_ResNet_18,False,229,1.1420558227539062,59.51
Target_ResNet_18,True,230,4.79636083984375,0%
Target_ResNet_18,False,230,1.1380866333007813,59.8
Target_ResNet_18,True,231,4.86637532043457,0%
Target_ResNet_18,False,231,1.1332101684570313,60.06
Target_ResNet_18,True,232,4.788596420288086,0%
Target_ResNet_18,False,232,1.1281876831054687,60.46
Target_ResNet_18,True,233,5.066274200439453,0%
Target_ResNet_18,False,233,1.12321875,60.22
Target_ResNet_18,True,234,4.929470977783203,0%
Target_ResNet_18,False,234,1.120990087890625,60.519999999999996
Target_ResNet_18,True,235,5.019165222167969,0%
Target_ResNet_18,False,235,1.118901953125,60.370000000000005
Target_ResNet_18,True,236,4.863003738403321,0%
Target_ResNet_18,False,236,1.1241158203125,60.34
Target_ResNet_18,True,237,4.8672450866699215,0%
Target_ResNet_18,False,237,1.111960791015625,60.83
Target_ResNet_18,True,238,5.003331298828125,0%
Target_ResNet_18,False,238,1.1062677001953125,61.199999999999996
Target_ResNet_18,True,239,4.942081924438477,0%
Target_ResNet_18,False,239,1.1068877685546874,61.17
Target_ResNet_18,True,240,5.25129475402832,0%
Target_ResNet_18,False,240,1.1044458984375,61.22
Target_ResNet_18,True,241,5.05717935180664,0%
Target_ResNet_18,False,241,1.1009104248046875,61.31999999999999
Target_ResNet_18,True,242,5.105618118286133,0%
Target_ResNet_18,False,242,1.0960536743164062,61.39
Target_ResNet_18,True,243,5.2319693145751955,0%
Target_ResNet_18,False,243,1.0977764770507812,61.06
Target_ResNet_18,True,244,5.131295303344727,0%
Target_ResNet_18,False,244,1.1020190185546874,60.650000000000006
Target_ResNet_18,True,245,5.073595138549805,0%
Target_ResNet_18,False,245,1.0993593505859376,60.540000000000006
Target_ResNet_18,True,246,4.965121307373047,0%
Target_ResNet_18,False,246,1.0899717163085938,61.050000000000004
Target_ResNet_18,True,247,5.103854217529297,0%
Target_ResNet_18,False,247,1.08541328125,61.18
Target_ResNet_18,True,248,5.224906280517578,0%
Target_ResNet_18,False,248,1.0828724487304688,61.6
Target_ResNet_18,True,249,5.190764587402343,0%
Target_ResNet_18,False,249,1.0786875244140626,61.82
Target_ResNet_18,True,250,5.174065353393555,0%
Target_ResNet_18,False,250,1.0704149658203126,62.28
Target_ResNet_18,True,251,5.322095245361328,0%
Target_ResNet_18,False,251,1.0637559692382812,62.419999999999995
Target_ResNet_18,True,252,5.276711074829102,0%
Target_ResNet_18,False,252,1.0639562438964845,62.08
Target_ResNet_18,True,253,5.122239593505859,0%
Target_ResNet_18,False,253,1.0625408203125,62.08
Target_ResNet_18,True,254,5.1705311584472655,0%
Target_ResNet_18,False,254,1.0645372009277343,61.739999999999995
Target_ResNet_18,True,255,5.246375549316406,0%
Target_ResNet_18,False,255,1.068446044921875,61.6
Target_ResNet_18,True,256,5.243416397094727,0%
Target_ResNet_18,False,256,1.0667406860351563,62.0
Target_ResNet_18,True,257,5.129140747070313,0%
Target_ResNet_18,False,257,1.0625209716796875,62.7
Target_ResNet_18,True,258,5.133134735107422,0%
Target_ResNet_18,False,258,1.05827021484375,62.82
Target_ResNet_18,True,259,5.182495147705078,0%
Target_ResNet_18,False,259,1.0571264282226562,62.78
Target_ResNet_18,True,260,5.126203521728516,0%
Target_ResNet_18,False,260,1.0548058166503906,62.4
Target_ResNet_18,True,261,5.232081604003906,0%
Target_ResNet_18,False,261,1.04991552734375,62.31
